id,code,name,state_id/id,l10n_cl_sii_regional_office,country_id/id
city_cl_11201,CL11201,Aisén,base.state_cl_11,ur_Ays,base.cl
city_cl_05602,CL05602,Algarrobo,base.state_cl_05,ur_SaA,base.cl
city_cl_13502,CL13502,Alhué,base.state_cl_13,ur_SaP,base.cl
city_cl_08314,CL08314,Alto Biobío,base.state_cl_08,ur_Log,base.cl
city_cl_03302,CL03302,Alto del Carmen,base.state_cl_03,ur_Val,base.cl
city_cl_01107,CL01107,Alto Hospicio,base.state_cl_01,ur_Iqu,base.cl
city_cl_10202,CL10202,Ancud,base.state_cl_10,ur_Anc,base.cl
city_cl_04103,CL04103,Andacollo,base.state_cl_04,ur_LaS,base.cl
city_cl_09201,CL09201,Angol,base.state_cl_09,ur_Ang,base.cl
city_cl_12202,CL12202,ANTÁRTICA,base.state_cl_12,ur_PuA,base.cl
city_cl_02101,CL02101,Antofagasta,base.state_cl_02,ur_Ant,base.cl
city_cl_08302,CL08302,Antuco,base.state_cl_08,ur_Log,base.cl
city_cl_08202,CL08202,Arauco,base.state_cl_08,ur_Cop,base.cl
city_cl_15101,CL15101,Arica,base.state_cl_15,ur_Ari,base.cl
city_cl_13402,CL13402,Buin,base.state_cl_13,ur_SaS,base.cl
city_cl_08402,CL08402,Bulnes,base.state_cl_16,ur_Chi,base.cl
city_cl_05402,CL05402,Cabildo,base.state_cl_05,ur_LaL,base.cl
city_cl_12201,CL12201,Cabo de Hornos,base.state_cl_12,ur_PuA,base.cl
city_cl_08303,CL08303,Cabrero,base.state_cl_08,ur_Log,base.cl
city_cl_02201,CL02201,Calama,base.state_cl_02,ur_Cal,base.cl
city_cl_10102,CL10102,Calbuco,base.state_cl_10,ur_PuM,base.cl
city_cl_03102,CL03102,Caldera,base.state_cl_03,ur_Coo,base.cl
city_cl_05502,CL05502,Calera,base.state_cl_05,ur_Qui,base.cl
city_cl_13403,CL13403,Calera de Tango,base.state_cl_13,ur_SaS,base.cl
city_cl_05302,CL05302,Calle Larga,base.state_cl_05,ur_Lod,base.cl
city_cl_15102,CL15102,Camarones,base.state_cl_15,ur_Ari,base.cl
city_cl_01402,CL01402,Camiña,base.state_cl_01,ur_Iqu,base.cl
city_cl_04202,CL04202,Canela,base.state_cl_04,ur_Ill,base.cl
city_cl_08203,CL08203,Cañete,base.state_cl_08,ur_Leb,base.cl
city_cl_09102,CL09102,Carahue,base.state_cl_09,ur_Tem,base.cl
city_cl_05603,CL05603,Cartagena,base.state_cl_05,ur_SaA,base.cl
city_cl_05102,CL05102,Casablanca,base.state_cl_05,ur_Vlp,base.cl
city_cl_10201,CL10201,Castro,base.state_cl_10,ur_Cas,base.cl
city_cl_05702,CL05702,Catemu,base.state_cl_05,ur_SaF,base.cl
city_cl_07201,CL07201,Cauquenes,base.state_cl_07,ur_Cau,base.cl
city_cl_13102,CL13102,Cerrillos,base.state_cl_13,ur_SaP,base.cl
city_cl_13103,CL13103,Cerro Navia,base.state_cl_13,ur_SaP,base.cl
city_cl_10401,CL10401,Chaitén,base.state_cl_10,ur_Cha,base.cl
city_cl_03201,CL03201,Chañaral,base.state_cl_03,ur_Chn,base.cl
city_cl_07202,CL07202,Chanco,base.state_cl_07,ur_Cau,base.cl
city_cl_06302,CL06302,Chépica,base.state_cl_06,ur_SaZ,base.cl
city_cl_08103,CL08103,Chiguayante,base.state_cl_08,ur_Cop,base.cl
city_cl_11401,CL11401,Chile Chico,base.state_cl_11,ur_ChC,base.cl
