id,code,state_id/id
l10n_cl_counties.city_cl_01107,CL01107,base.state_cl_01
l10n_cl_counties.city_cl_01402,CL01402,city_cl_01402
l10n_cl_counties.city_cl_01403,CL01403,city_cl_01403
l10n_cl_counties.city_cl_01404,CL01404,city_cl_01404
l10n_cl_counties.city_cl_01101,CL01101,city_cl_01101
l10n_cl_counties.city_cl_01405,CL01405,city_cl_01405
l10n_cl_counties.city_cl_01401,CL01401,city_cl_01401
l10n_cl_counties.city_cl_02101,CL02101,base.state_cl_02
l10n_cl_counties.city_cl_02201,CL02201,city_cl_02201
l10n_cl_counties.city_cl_02302,CL02302,city_cl_02302
l10n_cl_counties.city_cl_02102,CL02102,city_cl_02102
l10n_cl_counties.city_cl_02202,CL02202,city_cl_02202
l10n_cl_counties.city_cl_02203,CL02203,city_cl_02203
l10n_cl_counties.city_cl_02103,CL02103,city_cl_02103
l10n_cl_counties.city_cl_02104,CL02104,city_cl_02104
l10n_cl_counties.city_cl_02301,CL02301,city_cl_02301
l10n_cl_counties.city_cl_03302,CL03302,base.state_cl_03
l10n_cl_counties.city_cl_03102,CL03102,city_cl_03102
l10n_cl_counties.city_cl_03201,CL03201,city_cl_03201
l10n_cl_counties.city_cl_03101,CL03101,city_cl_03101
l10n_cl_counties.city_cl_03202,CL03202,city_cl_03202
l10n_cl_counties.city_cl_03303,CL03303,city_cl_03303
l10n_cl_counties.city_cl_03304,CL03304,city_cl_03304
l10n_cl_counties.city_cl_03103,CL03103,city_cl_03103
l10n_cl_counties.city_cl_03301,CL03301,city_cl_03301
l10n_cl_counties.city_cl_04103,CL04103,base.state_cl_04
l10n_cl_counties.city_cl_04202,CL04202,city_cl_04202
l10n_cl_counties.city_cl_04302,CL04302,city_cl_04302
l10n_cl_counties.city_cl_04102,CL04102,city_cl_04102
l10n_cl_counties.city_cl_04201,CL04201,city_cl_04201
l10n_cl_counties.city_cl_04104,CL04104,city_cl_04104
l10n_cl_counties.city_cl_04101,CL04101,city_cl_04101
l10n_cl_counties.city_cl_04203,CL04203,city_cl_04203
l10n_cl_counties.city_cl_04303,CL04303,city_cl_04303
l10n_cl_counties.city_cl_04301,CL04301,city_cl_04301
l10n_cl_counties.city_cl_04105,CL04105,city_cl_04105
l10n_cl_counties.city_cl_04304,CL04304,city_cl_04304
l10n_cl_counties.city_cl_04305,CL04305,city_cl_04305
l10n_cl_counties.city_cl_04204,CL04204,city_cl_04204
l10n_cl_counties.city_cl_04106,CL04106,city_cl_04106
l10n_cl_counties.city_cl_05602,CL05602,base.state_cl_05
l10n_cl_counties.city_cl_05402,CL05402,city_cl_05402
l10n_cl_counties.city_cl_05502,CL05502,city_cl_05502
l10n_cl_counties.city_cl_05302,CL05302,city_cl_05302
l10n_cl_counties.city_cl_05603,CL05603,city_cl_05603
l10n_cl_counties.city_cl_05102,CL05102,city_cl_05102
l10n_cl_counties.city_cl_05702,CL05702,city_cl_05702
l10n_cl_counties.city_cl_05103,CL05103,city_cl_05103
l10n_cl_counties.city_cl_05604,CL05604,city_cl_05604
l10n_cl_counties.city_cl_05605,CL05605,city_cl_05605
