id,code,country_id/id,name
base.state_cl_01,CL01107,base.cl,Alto Hospicio (Reg. Tarapacá)
city_cl_01402,CL01402,base.cl,Camiña (Reg. Tarapacá)
city_cl_01403,CL01403,base.cl,Colchane (Reg. Tarapacá)
city_cl_01404,CL01404,base.cl,Huara (Reg. Tarapacá)
city_cl_01101,CL01101,base.cl,Iquique (Reg. Tarapacá)
city_cl_01405,CL01405,base.cl,Pica (Reg. Tarapacá)
city_cl_01401,CL01401,base.cl,Pozo Almonte (Reg. Tarapacá)
base.state_cl_02,CL02101,base.cl,Antofagasta (Reg. Antofagasta)
city_cl_02201,CL02201,base.cl,Calama (Reg. Antofagasta)
city_cl_02302,CL02302,base.cl,María Elena (Reg. Antofagasta)
city_cl_02102,CL02102,base.cl,Mejillones (Reg. Antofagasta)
city_cl_02202,CL02202,base.cl,Ollague (Reg. Antofagasta)
city_cl_02203,CL02203,base.cl,San Pedro de Atacama (Reg. Antofagasta)
city_cl_02103,CL02103,base.cl,Sierra Gorda (Reg. Antofagasta)
city_cl_02104,CL02104,base.cl,Taltal (Reg. Antofagasta)
city_cl_02301,CL02301,base.cl,Tocopilla (Reg. Antofagasta)
base.state_cl_03,CL03302,base.cl,Alto del Carmen (Reg. Atacama)
city_cl_03102,CL03102,base.cl,Caldera (Reg. Atacama)
city_cl_03201,CL03201,base.cl,Chañaral (Reg. Atacama)
city_cl_03101,CL03101,base.cl,Copiapó (Reg. Atacama)
city_cl_03202,CL03202,base.cl,Diego de Almagro (Reg. Atacama)
city_cl_03303,CL03303,base.cl,Freirina (Reg. Atacama)
city_cl_03304,CL03304,base.cl,Huasco (Reg. Atacama)
city_cl_03103,CL03103,base.cl,Tierra Amarilla (Reg. Atacama)
city_cl_03301,CL03301,base.cl,Vallenar (Reg. Atacama)
base.state_cl_04,CL04103,base.cl,Andacollo (Reg. Coquimbo)
city_cl_04202,CL04202,base.cl,Canela (Reg. Coquimbo)
city_cl_04302,CL04302,base.cl,Combarbalá (Reg. Coquimbo)
city_cl_04102,CL04102,base.cl,Coquimbo (Reg. Coquimbo)
city_cl_04201,CL04201,base.cl,Illapel (Reg. Coquimbo)
city_cl_04104,CL04104,base.cl,La Higuera (Reg. Coquimbo)
city_cl_04101,CL04101,base.cl,La Serena (Reg. Coquimbo)
city_cl_04203,CL04203,base.cl,Los Vilos (Reg. Coquimbo)
city_cl_04303,CL04303,base.cl,Monte Patria (Reg. Coquimbo)
city_cl_04301,CL04301,base.cl,Ovalle (Reg. Coquimbo)
city_cl_04105,CL04105,base.cl,Paihuano (Reg. Coquimbo)
city_cl_04304,CL04304,base.cl,Punitaqui (Reg. Coquimbo)
city_cl_04305,CL04305,base.cl,Río Hurtado (Reg. Coquimbo)
city_cl_04204,CL04204,base.cl,Salamanca (Reg. Coquimbo)
city_cl_04106,CL04106,base.cl,Vicuña (Reg. Coquimbo)
base.state_cl_05,CL05602,base.cl,Algarrobo (Reg. Valparaíso)
city_cl_05402,CL05402,base.cl,Cabildo (Reg. Valparaíso)
city_cl_05502,CL05502,base.cl,Calera (Reg. Valparaíso)
city_cl_05302,CL05302,base.cl,Calle Larga (Reg. Valparaíso)
city_cl_05603,CL05603,base.cl,Cartagena (Reg. Valparaíso)
city_cl_05102,CL05102,base.cl,Casablanca (Reg. Valparaíso)
city_cl_05702,CL05702,base.cl,Catemu (Reg. Valparaíso)
city_cl_05103,CL05103,base.cl,Concón (Reg. Valparaíso)
city_cl_05604,CL05604,base.cl,El Quisco (Reg. Valparaíso)
city_cl_05605,CL05605,base.cl,El Tabo (Reg. Valparaíso)
city_cl_05503,CL05503,base.cl,Hijuelas (Reg. Valparaíso)
city_cl_05201,CL05201,base.cl,Isla de Pascua (Reg. Valparaíso)
city_cl_05104,CL05104,base.cl,Juan Fernández (Reg. Valparaíso)
city_cl_05504,CL05504,base.cl,La Cruz (Reg. Valparaíso)
city_cl_05401,CL05401,base.cl,La Ligua (Reg. Valparaíso)
city_cl_05505,CL05505,base.cl,Limache (Reg. Valparaíso)
city_cl_05703,CL05703,base.cl,Llay Llay (Reg. Valparaíso)
city_cl_05301,CL05301,base.cl,Los Andes (Reg. Valparaíso)
city_cl_05506,CL05506,base.cl,Nogales (Reg. Valparaíso)
city_cl_05507,CL05507,base.cl,Olmué (Reg. Valparaíso)
city_cl_05704,CL05704,base.cl,Panquehue (Reg. Valparaíso)
city_cl_05403,CL05403,base.cl,Papudo (Reg. Valparaíso)
city_cl_05404,CL05404,base.cl,Petorca (Reg. Valparaíso)
