id,code,name,description
1_cob1,1,COB1,Collection up to 1 year
2_cobranza,2,COBRANZA,Collection over a year
11_acred,11,ACRED,Credit up to 1 year
12_cbof,12,CBOF,Credit from financial organizations or banks over a year
21_s_pago,21,S/PAGO,Without payment
32_anticipo,32,ANTICIPO,Advance payment at shipment date
50_ant_cob,50,ANT/COB,5 % of advance payment at shipment date and 95 % with collection over a year
51_ant_cob,51,ANT/COB,10 % of advance payment at shipment date and 90 % with collection over a year
52_ant_cob,52,ANT/COB,15 % of advance payment at shipment date  and 85 % with collection over a year
53_ant_cob,53,ANT/COB,20 % of advance payment at shipment date and 80 % with collection over a year
54_ant_cob,54,ANT/COB,25 % of advance payment at shipment date and 75 % with collection over a year
55_ant_cob,55,ANT/COB,30 % of advance payment at shipment date and 70 % with collection over a year
56_ant_cob,56,ANT/COB,35 % of advance payment at shipment date and 65 % with collection over a year
57_ant_cob,57,ANT/COB,40 % of advance payment at shipment date and 60 % with collection over a year
58_ant_cob,58,ANT/COB,45 % of advance payment at shipment date and 55 % with collection over a year
59_ant_cob,59,ANT/COB,50 % or more of advance payment at shipment date and 50 % or less with collection over a year
60_ant_cred,60,ANT/CRED,5 % of advance payment at shipment date and 95 % with credits from financial organizations or banks over a year
61_ant_cred,61,ANT/CRED,10 % of advance payment at shipment date  and 90 % with credits from financial organizations or banks over a year
62_ant_cred,62,ANT/CRED,15 % of advance payment at shipment date and 85 % with credits from financial organizations or banks over a year
63_ant_cred,63,ANT/CRED,20 % of advance payment at shipment date and 80 % with credits from financial organizations or banks over a year
64_ant_cred,64,ANT/CRED,25 % of advance payment at shipment date and 75 % with credits from financial organizations or banks over a year
65_ant_cred,65,ANT/CRED,30 % of advance payment at shipment date and 70 % with credits from financial organizations or banks over a year
66_ant_cred,66,ANT/CRED,35 % of advance payment at shipment date and 65 % with credits from financial organizations or banks over a year
67_ant_cred,67,ANT/CRED,40 % of advance payment at shipment date and  60 % with credits from financial organizations or banks over a year
68_ant_cred,68,ANT/CRED,45 % of advance payment at shipment date and 55 % with credits from financial organizations or banks over a year
69_ant_cred,69,ANT/CRED,50 % or more of advance payment at shipment date and 50 % or less with credits from financial organizations or banks over a year
70_ant_cob,70,ANT/COB,10 % of advance payment at shipment date and 90 % with collection up to 1 year
71_ant_cob,71,ANT/COB,20 % of advance payment at shipment date and 80 % with collection up to 1 year
72_ant_cob,72,ANT/COB,30 % of advance payment at shipment date and 70 % with collection up to 1 year
73_ant_cob,73,ANT/COB,40 % of advance payment at shipment date and 60 % with collection up to 1 year
74_ant_cob,74,ANT/COB,50 % of advance payment at shipment date and 50 % with collection up to 1 year
75_ant_cob,75,ANT/COB,M s del 50 % of advance payment at shipment date and menos del 50 % with collection up to 1 year
80_s_pago_cob,80,S/PAGO/COB,10 % without payment and 90 % with collection up to 1 year
81_s_pago_cob,81,S/PAGO/COB,20 % without payment and 80 % with collection up to 1 year
82_s_pago_cob,82,S/PAGO/COB,30 % without payment and 70 % with collection up to 1 year
83_s_pago_cob,83,S/PAGO/COB,40 % without payment and 60 % with collection up to 1 year
84_s_pago_cob,84,S/PAGO/COB,50 % without payment and 50 % with collection up to 1 year
85_s_pago_cob,85,S/PAGO/COB,More than 50 % without payment and less than 50 % with collection up to 1 year
